title,rec1,rec2,rec3,rec4,rec5,rec6,rec7,rec8,rec9,rec10
Dead to Me,Workin' Moms,Good Girls,You,Russian Doll,Unbelievable,What/if,Dirty John,Living With Yourself,Atypical,The Sinner
The Last Kingdom,Marco Polo,Black Sails,Frontier,Vikings,Medici,Knightfall,Outlander,Troy: Fall Of A City,Taboo,The Man In The High Castle
Community,30 Rock,Arrested Development,It's Always Sunny In Philadelphia,The Office,Parks And Recreation,Modern Family,Archer,Scrubs,Brooklyn Nine-Nine,Freaks And Geeks
Hollywood,Sex And The City,Desperate Housewives,Nip/tuck,American Horror Story,Glee,Grey's Anatomy,True Blood,Six Feet Under,Ugly Betty,Orange Is The New Black
Ozark,Mindhunter,Manhunt,The Sinner,The Night Of,Godless,Narcos: Mexico,Dark,Bodyguard,Peaky Blinders,Sneaky Pete
Avatar: The Last Airbender,The Legend Of Korra,Fullmetal Alchemist,Attack On Titan,Death Note,Fullmetal Alchemist: Brotherhood,Sherlock,Game Of Thrones,Code Geass: Lelouch Of The Rebellion,House,Gravity Falls
Game of Thrones,Dexter,The Walking Dead,Breaking Bad,Sherlock,Lost,Mr. Robot,Stranger Things,House Of Cards,Vikings,House
Rick and Morty,Bojack Horseman,Better Call Saul,Stranger Things,Mr. Robot,Black Mirror,One Punch Man,Breaking Bad,Westworld,Silicon Valley,Love, Death And Robots
Stargirl,Young Justice,The Avengers: Earth's Mightiest Heroes,Justice League Unlimited,Ultimate Spider-Man,Justice League: Gods And Monsters Chronicles,Avengers Assemble,Vixen,Titans,Constantine: City Of Demons,Black Panther
Snowpiercer,Jeremiah,Terminator: The Sarah Connor Chronicles,V,Defying Gravity,Jericho,Surface,Falling Skies,Defiance,Farscape,Space: Above And Beyond
The Office,It's Always Sunny In Philadelphia,Community,Arrested Development,Modern Family,Seinfeld,Freaks And Geeks,Parks And Recreation,Scrubs,30 Rock,Brooklyn Nine-Nine
Vikings,Black Sails,Game Of Thrones,Sons Of Anarchy,The Walking Dead,Marco Polo,Spartacus,Peaky Blinders,Taboo,Mr. Robot,Da Vinci's Demons
Westworld,Mr. Robot,Stranger Things,Better Call Saul,Game Of Thrones,Chernobyl,Mindhunter,Black Mirror,Dark,Fargo,Taboo
The 100,Under The Dome,The Shannara Chronicles,Fear The Walking Dead,Zoo,Izombie,Lucifer,Revolution,Limitless,12 Monkeys,Sense8
Killing Eve,Big Little Lies,Fleabag,The Handmaid's Tale,Sharp Objects,Russian Doll,Homecoming,Dead To Me,Unbelievable,The Marvelous Mrs. Maisel,Succession
Breaking Bad,The Walking Dead,Dexter,Better Call Saul,Fargo,Game Of Thrones,Lost,True Detective,House Of Cards,Mr. Robot,Black Mirror
Grey's Anatomy,Desperate Housewives,Gossip Girl,Revenge,Gilmore Girls,One Tree Hill,Sex And The City,Glee,Private Practice,Once Upon A Time,Criminal Minds
Outlander,Poldark,Downton Abbey,The White Queen,The Last Kingdom,Reign,Victoria,The Crown,Penny Dreadful,Vikings,Black Sails
The Blacklist,Person Of Interest,Elementary,Blindspot,Suits,Scorpion,Homeland,The Mentalist,Gotham,White Collar,Hawaii Five-0
Riverdale,Insatiable,13 Reasons Why,Dynasty,Atypical,Santa Clarita Diet,You,Chilling Adventures Of Sabrina,A Series Of Unfortunate Events,Good Girls,Stranger Things
The Walking Dead,Breaking Bad,Game Of Thrones,Dexter,Lost,Sons Of Anarchy,Hannibal,Better Call Saul,Mr. Robot,Vikings,American Horror Story
Peaky Blinders,Taboo,Fargo,Mindhunter,Better Call Saul,Breaking Bad,Mr. Robot,Vikings,Westworld,True Detective,Narcos
Defending Jacob,Catch-22,Counterpart,Mindhunter,The Man In The High Castle,Ozark,Altered Carbon,Maniac,The Little Drummer Girl,The Deuce,Bodyguard
13 Reasons Why,The End Of The F***ing World,Stranger Things,You,Sex Education,Dark,Atypical,The Haunting Of Hill House,Mindhunter,Black Mirror,Big Little Lies
Supernatural,Grimm,Heroes,Once Upon A Time,True Blood,Dexter,Fringe,Game Of Thrones,House,The Walking Dead,Smallville
Modern Family,New Girl,How I Met Your Mother,Friends,The Big Bang Theory,The Office,Community,Scrubs,Brooklyn Nine-Nine,House,That '70s Show
The Mandalorian,The Boys,The Witcher,Watchmen,His Dark Materials,Love, Death And Robots,Cobra Kai,The Punisher,Chernobyl,The Dark Crystal: Age Of Resistance,Carnival Row
The Flash,Agents Of S.H.I.E.L.D.,Gotham,Dc's Legends Of Tomorrow,Supergirl,Agent Carter,Lucifer,Jessica Jones,Constantine,Iron Fist,Daredevil
Schitt's Creek,Superstore,Glow,Santa Clarita Diet,The Good Place,Grace And Frankie,I'm Sorry,Unbreakable Kimmy Schmidt,Dead To Me,Good Girls,Shrill
